task,name,input_count,reference_count,resolution,input_source,same_domain,pairing,degradation_profile,year_venue,citation_key,source_title,source_url,selected_evaluation
low-light,DarkFace,"15,000",0,mixed,Real,N/A,Real unpaired,Extreme/photon-limited; Faces,CVPRW 2019,yuan2019ug2,UG2+ track 2: A collective benchmark effort for evaluating and advancing image understanding in poor visibility environments,https://arxiv.org/abs/1904.04474,no
low-light,ExDark,"7,363",0,mixed,Real,N/A,Real unpaired,Varied real-world illumination,CVIU 2019,loh2019getting,Getting to know low-light images with the exclusively dark dataset,,no
low-light,NightCity,"4,297",0,1024×512,Real,N/A,Real unpaired,Urban nighttime; Mixed exposure,TIP 2021,tan2021nighttime,Night-time scene parsing with a large real dataset,,no
low-light,VE-LOL-H,"10,940",0,1080×720,Real,N/A,Real unpaired,Underexposure; Faces,IJCV 2021,liu2021benchmarking,Benchmarking low-light image enhancement and beyond,,no
low-light,LLIV-Phone,"45,148 frames",0,1280×720/ 1920×1080,Real,N/A,Real unpaired,Mobile; Varied real-world illumination,TPAMI 2021,li2021low,Low-light image and video enhancement using deep learning: A survey,,no
low-light,Backlit300,305,0,mixed,Real,N/A,Real unpaired,Backlit/HDR,ICCV 2023,Liang2023ICCV,Iterative Prompt Learning for Unsupervised Backlit Image Enhancement,,no
low-light,LoLI-Street-RLLT,"1,000",0,mixed,Real,N/A,Real unpaired,Global dim; Street scenes,ACCV 2024,islam2024loli,Loli-street: Benchmarking low-light image enhancement and beyond,,no
low-light,LSD-Unpaired,"2,117",0,mixed,Real,N/A,Real unpaired,Extreme/photon-limited; Varied real-world,WACV 2026,sharif2026illuminating,Illuminating darkness: Learning to enhance low-light images in-the-wild,,no
desnowing,ACDC-Snow,"1,000","1,000",NR,Real,Partial,Scene-level paired,Falling + Ground,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
desnowing,RealSnow,"1,890","1,890",NR,Real,Yes,Real paired,Falling,CVPR 2023,zhu2023learning,Learning weather-general and weather-specific features for image restoration under multiple adverse weather conditions,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhu_Learning_Weather-General_and_Weather-Specific_Features_for_Image_Restoration_Under_Multiple_CVPR_2023_paper.pdf,yes
desnowing,WeatherStream-Snow (test),"3,960","3,960",NR,Real,Yes,Real paired,Falling,CVPR 2023,zhang2023weatherstream,Weatherstream: Light transport automation of single image deweathering,,no
desnowing,WeatherBench-Snow,"13,259","13,259",NR,Real,Yes,Real paired,Falling,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
desnowing,MWD-Snow (RSCM),"10,000","10,000",NR,Real,Yes,Real unpaired,Falling + Ground,TIP 2017,lin2017rscm,RSCM: Region selection and concurrency model for multi-class weather recognition,,no
desnowing,Image2Weather-Snow,"1,252","70,501",NR,Real,Yes,Real unpaired,Falling + Ground,JVCIR 2017,chu2017camera,Camera as weather sensor: Estimating weather information from single images,,no
desnowing,Snow100K-Realistic,"1,329",0,NR,Real,N/A,Real unpaired,Falling + Ground,TIP 2018,liu2018desnownet,Desnownet: Context-aware deep network for snow removal,https://sites.google.com/view/yunfuliu/desnownet,no
desnowing,RFS-Snow,"1,100",0,NR,Real,N/A,Real unpaired,Falling + Ground,IEEE AHS 2018,guerra2018weather,"Weather Classification: A new multi-class dataset, data augmentation approach and comprehensive evaluations of Convolutional Neural Networks",,no
desnowing,SRRS-Real,"1,000",0,NR,Real,N/A,Real unpaired,Falling + Veil,ECCV 2020,chen2020jstasr,JSTASR: Joint size and transparency-aware snow removal algorithm based on modified partial convolution and veiling effect removal,,no
desnowing,DAWN-Snow,204,0,NR,Real,N/A,Real unpaired,Falling + Ground,arXiv 2020,kenk2020dawn,Dawn: vehicle detection in adverse weather nature dataset,https://arxiv.org/abs/2008.05402,no
desnowing,WEAPD-Snow,621,0,NR,Real,N/A,Real unpaired,Falling + Ground,Earth Space Sci. 2021,xiao2021classification,Classification of weather phenomenon from images by using deep convolutional neural network,,no
desnowing,SnowWorld24,24,0,NR,Real,N/A,Real unpaired,Falling,CVIU 2023,cheng2023snow,Snow mask guided adaptive residual network for image snow removal,,no
desnowing,RSOD,"2,100",0,NR,Real,N/A,Real unpaired,Falling + Ground,IEEE T-ITS 2023,ding2023cf,Cf-yolo: Cross fusion yolo for object detection in adverse weather with a high-quality real snow dataset,,no
desnowing,RDSBW-Snow,"4,777","2,831",NR,Real,Yes,Real unpaired,Falling + Ground + Veil,Sensors 2023,yang2023framework,Framework for Generation and Removal of Multiple Types of Adverse Weather from Driving Scene Images,https://doi.org/10.3390/s23031548,no
desnowing,RealSnow85,85 videos,0,NR,Real,N/A,Real unpaired,Falling + Veil,ECCV 2024,wu2024semi,Semi-supervised video desnowing network via temporal decoupling experts and distribution-driven contrastive regularization,,no
desnowing,SRSD-Real,"2,000",0,NR,Real,N/A,Real unpaired,Falling,IET CV 2024,wang2024joint,Joint image restoration for object detection in snowy weather,,no
desnowing,WReal-Snow,"2,018",0,NR,Real,N/A,Real unpaired,Falling + Ground,ECCV 2024,xu2024towards,Towards real-world adverse weather image restoration: Enhancing clearness and semantics with vision-language models,,no
desnowing,RealSnow10K,"12,676",0,NR,Real,N/A,Real unpaired,Falling + Ground + Veil,CVPR 2025,lai2025snowmaster,Snowmaster: Comprehensive real-world image desnowing via mllm with multi-model feedback optimization,,no
