task,name,input_count,reference_count,resolution,input_source,same_domain,pairing,degradation_profile,year_venue,citation_key,source_title,source_url,selected_evaluation
dehazing,WeatherBench-Haze,"13,814","13,814",512×512,Real,Yes,Real paired,Outdoor day/night physical haze,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
dehazing,NT-HAZE,40,40,NR,Real,Yes,Real paired,Nighttime physical haze with glow,CVPRW 2026,ancuti2026nt,NT-HAZE: A Benchmark Dataset for Realistic Night-time Image Dehazing,,no
deblurring,RealBlur-R/J,"4,738","4,738",680×773,Real,Yes,Real paired,Camera motion,ECCV 2020,rim2020real,Real-world blur dataset for learning and benchmarking deblurring algorithms,https://github.com/rimchang/RealBlur,no
deblurring,RealBlur-Tele,996,996,950×598,Real,Yes,Real paired,"Camera motion, telephoto",ECCV 2020,rim2020real,Real-world blur dataset for learning and benchmarking deblurring algorithms,https://github.com/rimchang/RealBlur,no
deblurring,DPDD,500,500,6720×4480,Real,Yes,Real paired,Defocus blur,ECCV 2020,abuolaim2020defocus,Defocus deblurring using dual-pixel data,https://github.com/Abdullah-Abuolaim/defocus-deblurring-dual-pixel,yes
deblurring,RealDOF,50,50,2376×1586,Real,Yes,Real paired,Defocus blur,CVPR 2021,lee2021iterative,Iterative Filter Adaptive Network for Single Image Defocus Deblurring,,no
deblurring,RSBlur,"13,358","13,358",1920×1200,Real,Yes,Real paired,Camera and object motion,ECCV 2022,rim2022realistic,Realistic blur synthesis for learning image deblurring,,no
deblurring,ReLoBlur,"2,405","2,405",2152×1436,Real,Yes,Real paired,Object motion,AAAI 2023,li2023real,Real-world deep local motion deblurring,,no
deblurring,SDD,150,150,4096×2160,Real,Yes,"Real paired, misaligned",Defocus blur,AAAI 2023,li2023learning,Learning single image defocus deblurring with misaligned training pairs,,no
deblurring,iDFD,764,764,NR,Real,Yes,Real paired,Defocus blur,SCIA 2023,nazir2023idfd,idfd: A dataset annotated for depth and defocus,,no
deblurring,LPBlur,"10,288","10,288",224×112,Real,Yes,Real paired,"Object motion, license plate",IJCAI 2024,gong2024dataset,A dataset and model for realistic license plate deblurring,https://arxiv.org/abs/2404.13677,no
deblurring,LICAM,400,400,1024×1024,Real,Yes,Real paired,Low-light motion and noise,ICIP 2025,montanaro2025novel,A novel method and dataset for depth-guided image deblurring from smartphone Lidar,,no
low-light,SICE,"4,413",589,Mixed,Real,Yes,Real paired,"Multi-exposure, multi-level illumination",TIP 2018,cai2018learning,Learning a deep single image contrast enhancer from multi-exposure images,https://csjcai.github.io/papers/SICE.pdf,no
low-light,LOL-v1,500,500,600×400,Real,Yes,Real paired,Global dim,BMVC 2018,wei2018deep,Deep retinex decomposition for low-light enhancement,https://arxiv.org/abs/1808.04560,no
low-light,Dark Zurich,"5,537","3,242",1920×1080,Real,Yes,Scene-level paired,"Nighttime street, complex illumination",ICCV 2019,sakaridis2019guided,Guided curriculum model adaptation and uncertainty-aware evaluation for semantic nighttime image segmentation,,no
low-light,LOL-v2-real,789,789,600×400,Real,Yes,Real paired,Global dim,TIP 2021,yang2021sparse,Sparse gradient regularized deep retinex network for robust low-light image enhancement,,no
low-light,VE-LOL-L-Cap,"1,500","1,500",1080×720,Real,Yes,Real paired,Multi-level illumination,IJCV 2021,liu2021benchmarking,Benchmarking low-light image enhancement and beyond,,no
low-light,ACDC-Night,"1,006","1,006",1920×1080,Real,Yes,Scene-level paired,Outdoor nighttime driving,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
low-light,BAID,"3,000","3,000",Mixed,Real,Yes,Real paired,Backlit and HDR,CVIU 2022,lv2022backlitnet,BacklitNet: A dataset and network for backlit image enhancement,,no
low-light,UHD-LL,"2,150","2,150",3840×2160,Real,Yes,Real paired,"Global dim, varied real-world scenes",ICLR 2023,li2023embedding,Embedding Fourier for ultra-high-definition low-light image enhancement,,no
low-light,LSRW,"5,650","5,650",960×720,Real,Yes,Real paired,"Global dim, varied real-world scenes",JVCIR 2023,hai2023r2rnet,R2rnet: Low-light image enhancement via real-low to real-normal network,https://github.com/JianghaiSCU/R2RNet,yes
low-light,NTIRE-2024-LLIE,300,230,Mixed,Real,Yes,Real paired,Non-uniform and extreme illumination,CVPRW 2024,liu2024ntirellie,NTIRE 2024 challenge on low light image enhancement: Methods and results,,no
low-light,FoundIR-Lowlight,"40,012","40,012",Mixed,Real,,,Low-light exposure,ICCV 2025,li2025foundir,Foundir: Unleashing million-scale training data to advance foundation models for image restoration,,no
low-light,LSD-Paired,"6,425","6,425",Mixed,Real,Yes,Real paired,Extreme and varied low light,WACV 2026,sharif2026illuminating,Illuminating darkness: Learning to enhance low-light images in-the-wild,,no
low-light,LENVIZ,"210,606","24,082",Mixed,Real,Yes,Real paired,"Multi-exposure, multi-level illumination",WACV 2026,aithal2026lenviz,LENVIZ: A high-resolution low-exposure night vision benchmark dataset,,no
low-light,MILL,"1,000",100,Mixed,Real,Yes,Real paired,Controlled multi-level illumination,CVPR Findings 2026,pilligua2026evaluating,Evaluating low-light image enhancement across multiple intensity levels,,no
low-light,NTIRE-2026-E-LLIE,500,398,4032×3024,Real,Yes,Real paired,Extreme and non-uniform illumination,CVPRW 2026,yan2026efficientllie,Efficient low light image enhancement: NTIRE 2026 challenge report,,no
desnowing,ACDC-Snow,"1,000","1,000",NR,Real,Partial,Scene-level paired,Falling and accumulated snow,ICCV 2021,sakaridis2021acdc,ACDC: The adverse conditions dataset with correspondences for semantic driving scene understanding,https://acdc.vision.ee.ethz.ch/,no
desnowing,RealSnow,"1,890","1,890",NR,Real,Yes,Real paired,Falling snow,CVPR 2023,zhu2023learning,Learning weather-general and weather-specific features for image restoration under multiple adverse weather conditions,https://openaccess.thecvf.com/content/CVPR2023/papers/Zhu_Learning_Weather-General_and_Weather-Specific_Features_for_Image_Restoration_Under_Multiple_CVPR_2023_paper.pdf,yes
desnowing,WeatherStream-Snow,"3,960","3,960",NR,Real,Yes,Real paired,Falling snow,CVPR 2023,zhang2023weatherstream,Weatherstream: Light transport automation of single image deweathering,,no
desnowing,WeatherBench-Snow,"13,259","13,259",NR,Real,Yes,Real paired,Falling snow,ACM MM 2025,guan2025weatherbench,Weatherbench: A real-world benchmark dataset for all-in-one adverse weather image restoration,,no
